human.symbol	rat.symbol	mouse.symbol	human.go.annotation	mouse.go.annotation	rat.go.annotation
NLGN2	Nlgn2	Nlgn2		positive regulation of synaptic transmission, GABAergic; synapse; regulation of synaptic transmission; positive regulation of synaptic transmission, glutamatergic; postsynaptic membrane assembly; presynaptic membrane assembly; presynaptic membrane assembly; positive regulation of inhibitory postsynaptic membrane potential; positive regulation of excitatory postsynaptic membrane potential	synapse assembly; positive regulation of synapse assembly; inhibitory synapse; presynaptic membrane assembly; positive regulation of inhibitory postsynaptic membrane potential
NLGN3	Nlgn3	Nlgn3	excitatory synapse	regulation of synaptic transmission; regulation of synaptic transmission, glutamatergic; positive regulation of synaptic transmission, glutamatergic; regulation of excitatory postsynaptic membrane potential; regulation of inhibitory postsynaptic membrane potential; postsynaptic membrane assembly; positive regulation of excitatory postsynaptic membrane potential	synapse assembly; synapse; positive regulation of synapse assembly; rhythmic synaptic transmission; excitatory synapse; regulation of inhibitory postsynaptic membrane potential; presynaptic membrane assembly
NMNAT2	Nmnat2	Nmnat2		synapse	
NMUR1	Nmur1	Nmur1	neuromedin U receptor activity	synaptic transmission; neuropeptide receptor activity	
NMUR2	Nmur2	Nmur2	neuromedin U receptor activity	synaptic transmission; neuropeptide receptor activity	neuropeptide receptor activity
NOS1	Nos1	Nos1		synapse; negative regulation of serotonin uptake	postsynaptic density; synapse
NPAS4	Npas4	Npas4		regulation of inhibitory postsynaptic membrane potential	
NPHP4	Nphp4	Nphp4		ribbon synapse	
NPS	Nps	Nps		positive regulation of synaptic transmission, GABAergic; positive regulation of synaptic transmission, glutamatergic	
NPY1R	Npy1r	Npy1r		peptide YY receptor activity; pancreatic polypeptide receptor activity; neuropeptide Y receptor activity; synaptic transmission	synaptic vesicle
NPY2R	Npy2r	Npy2r		peptide YY receptor activity; neuropeptide Y receptor activity; synaptic transmission	peptide YY receptor activity; neuropeptide Y receptor activity; negative regulation of synaptic transmission; negative regulation of synaptic transmission, glutamatergic; negative regulation of excitatory postsynaptic membrane potential
NPY5R	Npy5r	Npy5r		peptide YY receptor activity; pancreatic polypeptide receptor activity; neuropeptide Y receptor activity; synaptic transmission	peptide YY receptor activity; pancreatic polypeptide receptor activity; neuropeptide Y receptor activity; negative regulation of synaptic transmission, GABAergic
NR2E1	Nr2e1	Nr2e1		long-term synaptic potentiation	
NRCAM	Nrcam	Nrcam		synapse	
NRXN1	Nrxn1	Nrxn1		synaptic transmission; synapse assembly; presynaptic membrane; positive regulation of synapse assembly; positive regulation of synaptic transmission, glutamatergic; positive regulation of synapse maturation; postsynaptic membrane assembly; positive regulation of excitatory postsynaptic membrane potential	
